Year;DOY;millisecs;B;Bx;By;Bz;Btheta;Bphi;Vx;Vy;Vz;Np
2005;163;199031;7.14;1.05;-7.06;0.04;0.29;278.49;-300.4;-28.2;-18.9;19.3
2005;163;297808;6.85;0.25;-6.71;1.22;10.28;272.17;-303.6;-28.3;-15.6;19.2
2005;163;390506;6.63;-0.05;-6.47;1.45;12.61;269.55;-302.1;-28.1;-16.9;20.6
2005;163;487763;6.57;-0.12;-6.43;1.29;11.33;268.97;-303.8;-28.8;-11.3;19.7
2005;163;588094;6.44;-0.45;-6.14;1.87;16.86;265.84;-302.4;-28.2;-16.6;21.3
2005;163;683796;6.48;-0.43;-6.19;1.84;16.51;265.98;-303.1;-27.6;-17.4;21.5
2005;163;778015;6.45;-0.44;-6.06;2.14;19.44;265.87;-303.1;-27.6;-16.2;20.8
2005;163;879148;6.38;-0.60;-5.98;2.13;19.49;264.30;-302.8;-26.8;-19.2;22.8
2005;163;972528;6.36;-1.11;-5.94;1.97;18.06;259.40;-305.2;-26.5;-17.5;21.9
2005;163;1063707;6.46;-1.61;-5.75;2.42;22.09;254.37;-306.3;-26.4;-16.0;22.3
2005;163;1168562;6.43;0.89;-6.30;0.75;6.71;278.00;-297.8;-27.5;-20.1;23.6
2005;163;1267339;6.32;0.00;-6.14;1.39;12.72;270.01;-303.6;-27.6;-17.5;22.2
2005;163;1360037;6.22;-0.67;-6.13;0.77;7.10;263.73;-304.2;-26.6;-18.8;22.7
2005;163;1458813;6.33;-0.07;-6.21;1.15;10.50;269.40;-303.1;-27.4;-22.1;23.1
2005;163;1556071;6.28;-0.05;-6.14;1.28;11.79;269.55;-303.6;-27.6;-20.5;21.3
2005;163;1651808;6.30;0.22;-6.23;0.87;7.91;271.98;-302.7;-28.2;-21.4;21.7
2005;163;1749100;6.19;0.15;-5.99;1.38;12.97;271.48;-303.7;-27.0;-17.2;21.6
2005;163;1851718;6.30;0.33;-6.14;1.29;11.84;273.06;-304.3;-26.2;-18.5;22.2
2005;163;1948138;6.33;0.35;-6.24;1.05;9.52;273.17;-305.6;-26.7;-17.1;21.8
2005;163;2040153;6.28;0.55;-6.18;0.93;8.49;275.12;-304.3;-25.6;-18.6;22.5
2005;163;2145691;6.18;0.86;-6.08;0.63;5.89;278.02;-304.5;-27.3;-16.1;22.2
2005;163;2239908;6.16;0.92;-6.06;0.64;5.97;278.61;-305.1;-27.9;-15.8;22.1
2005;163;2337166;6.07;0.83;-5.98;0.43;4.10;277.86;-304.5;-27.0;-15.4;23.0
2005;163;2438299;5.88;0.88;-5.80;0.34;3.30;278.58;-303.7;-27.5;-18.7;23.3
2005;163;2530160;6.06;1.11;-5.88;0.32;3.06;280.74;-301.7;-28.4;-19.6;21.7
2005;163;2631976;6.20;0.97;-5.85;1.58;14.88;279.37;-304.1;-25.9;-17.0;22.5
2005;163;2726194;6.51;1.43;-6.28;0.88;7.77;282.85;-302.7;-28.1;-17.8;20.7
2005;163;2821931;6.44;1.25;-6.20;1.20;10.71;281.38;-303.9;-28.2;-10.5;20.0
2005;163;2923747;6.45;1.22;-6.25;1.01;8.97;281.03;-303.2;-29.0;-15.4;21.0
2005;163;3011886;6.48;1.25;-6.31;0.76;6.74;281.19;-303.4;-28.4;-16.6;21.5
2005;163;3117776;6.36;1.29;-6.21;0.17;1.50;281.73;-304.0;-29.1;-18.8;21.5
2005;163;3210959;6.39;1.63;-6.17;0.12;1.09;284.79;-302.8;-29.4;-19.3;21.4
2005;163;3308216;6.54;2.13;-6.17;0.34;3.02;289.01;-301.1;-30.2;-18.9;20.8
2005;163;3408512;6.50;2.24;-6.10;-0.06;-0.51;290.14;-301.5;-29.6;-19.0;21.3
2005;163;3505769;6.36;2.32;-5.91;-0.15;-1.39;291.47;-301.3;-29.4;-19.0;21.4
2005;163;3603026;6.27;2.43;-5.78;0.05;0.45;292.81;-304.1;-29.2;-12.9;19.6
2005;163;3697244;6.48;2.62;-5.91;-0.37;-3.31;293.91;-304.0;-28.5;-11.9;19.2
2005;163;3794502;6.40;2.77;-5.70;-0.88;-7.87;295.98;-301.1;-31.1;-19.5;20.6
2005;163;3894798;6.66;3.20;-5.70;-1.26;-10.93;299.32;-300.2;-29.8;-20.0;18.8
2005;163;3984457;6.91;3.44;-5.69;-1.86;-15.65;301.18;-302.2;-28.6;-17.8;18.5
2005;163;4180490;6.93;3.42;-5.83;-1.55;-12.93;300.41;-302.2;-29.1;-18.0;18.0
2005;163;4279266;6.77;3.32;-5.82;-0.97;-8.20;299.74;-303.0;-27.1;-18.3;17.9
2005;163;4375004;6.71;3.31;-5.80;-0.40;-3.40;299.69;-302.2;-28.8;-17.5;18.7
2005;163;4473780;7.01;3.57;-6.02;-0.05;-0.37;300.68;-303.4;-25.7;-15.8;18.2
2005;163;4569518;6.80;3.31;-5.82;-1.07;-9.10;299.65;-302.7;-26.1;-18.9;18.8
2005;163;4666776;6.67;3.11;-5.69;-1.54;-13.37;298.64;-302.2;-26.8;-19.4;18.8
2005;163;4764033;6.67;3.04;-5.84;-1.02;-8.84;297.50;-302.1;-27.3;-18.4;18.6
2005;163;4861290;6.64;3.15;-5.77;-0.93;-8.03;298.63;-302.1;-28.0;-17.2;19.0
2005;163;4953988;6.63;3.34;-5.63;-1.00;-8.72;300.63;-299.4;-28.5;-25.4;34.4
2005;163;5064239;6.87;3.36;-5.98;-0.19;-1.61;299.37;-301.8;-27.5;-19.7;19.4
2005;163;5154581;6.74;3.30;-5.85;-0.59;-5.00;299.42;-301.9;-28.4;-16.5;18.5
2005;163;5253357;6.57;3.23;-5.67;-0.70;-6.14;299.70;-302.3;-27.3;-16.0;19.3
2005;163;5355173;6.55;3.22;-5.68;-0.48;-4.20;299.56;-303.6;-27.0;-16.6;19.1
2005;163;5449390;6.48;3.10;-5.67;-0.44;-3.89;298.67;-303.0;-27.2;-15.6;19.6
2005;163;5546647;6.37;3.04;-5.58;-0.50;-4.51;298.61;-304.3;-27.3;-13.4;19.7
2005;163;5643904;6.58;3.01;-5.83;0.03;0.23;297.29;-303.6;-27.1;-15.6;18.6
2005;163;5745038;6.56;3.26;-5.68;-0.37;-3.23;299.89;-303.2;-26.7;-18.5;19.6
2005;163;5838418;6.45;3.33;-5.52;-0.29;-2.61;301.10;-302.2;-26.6;-13.4;19.6
2005;163;5929597;6.55;3.41;-5.57;-0.37;-3.28;301.45;-302.4;-26.1;-14.0;20.0
2005;163;6035973;6.65;3.50;-5.60;-0.74;-6.37;302.01;-302.6;-25.4;-15.8;19.3
2005;163;6130190;6.75;3.42;-5.71;-1.06;-9.06;300.91;-303.7;-25.4;-17.9;18.7
2005;163;6225928;6.67;3.42;-5.66;-0.90;-7.80;301.13;-302.8;-26.4;-17.1;18.8
2005;163;6326224;6.56;3.33;-5.56;-1.00;-8.73;300.94;-303.5;-26.9;-7.8;18.2
2005;163;6425000;6.63;3.30;-5.65;-1.12;-9.72;300.27;-302.0;-25.5;-20.8;17.9
2005;163;6517699;6.75;3.45;-5.71;-1.03;-8.79;301.18;-302.8;-25.0;-16.3;19.4
2005;163;6616476;6.81;3.48;-5.76;-1.02;-8.63;301.15;-302.6;-24.8;-16.1;19.4
2005;163;6712213;6.59;3.23;-5.66;-0.98;-8.56;299.70;-302.5;-26.2;-16.6;20.1
2005;163;6814029;6.59;2.98;-5.80;-0.90;-7.88;297.22;-303.0;-25.9;-17.4;19.9
2005;163;6902167;6.56;3.23;-5.60;-1.12;-9.86;300.00;-303.0;-26.0;-15.0;20.5
2005;163;7012419;6.60;3.27;-5.65;-0.88;-7.69;300.04;-303.2;-25.9;-17.9;20.1
2005;163;7101241;6.56;3.35;-5.64;-0.05;-0.39;300.74;-303.3;-26.5;-13.4;20.1
2005;163;7203894;6.50;3.28;-5.61;-0.16;-1.38;300.32;-302.6;-26.7;-16.9;21.6
2005;163;7301151;6.47;3.20;-5.62;-0.03;-0.31;299.68;-302.9;-25.9;-17.6;20.6
2005;163;7394531;6.46;3.21;-5.58;-0.40;-3.55;299.89;-303.9;-25.7;-15.7;20.4
